SA2_CODE_2021,SA2_NAME_2021,CED_CODE_2024,CED_NAME_2024,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
308031206,Bouldercombe,311,Flynn,1,Good,Good,0
308031207,Emu Park,305,Capricornia,1,Good,Good,0
308031208,Frenchville - Mount Archer,305,Capricornia,1,Good,Good,0
308031209,Glenlee - Rockyview,305,Capricornia,1,Good,Good,0
308031210,Gracemere,311,Flynn,1,Good,Good,0
308031211,Lakes Creek,305,Capricornia,1,Good,Good,0
308031212,Mount Morgan,311,Flynn,1,Good,Good,0
308031213,Norman Gardens,305,Capricornia,1,Good,Good,0
308031214,Park Avenue,305,Capricornia,1,Good,Good,0
308031215,Parkhurst - Kawana,305,Capricornia,1,Good,Good,0
308031216,Rockhampton - West,305,Capricornia,1,Good,Good,0
308031217,Rockhampton City,311,Flynn,0.0310826,Good,Good,0
308031217,Rockhampton City,305,Capricornia,0.9689174,Good,Good,0
308031218,Rockhampton Surrounds - East,305,Capricornia,1,Good,Good,0
308031219,Rockhampton Surrounds - North,305,Capricornia,1,Good,Good,0
308031220,Rockhampton Surrounds - West,311,Flynn,1,Good,Good,0
308031221,Shoalwater Bay,305,Capricornia,1,Good,Good,0
308031222,The Range - Allenstown,305,Capricornia,1,Good,Good,0
308031223,Yeppoon,305,Capricornia,1,Good,Good,0
308041528,Banana,311,Flynn,1,Good,Good,0
308041529,Biloela,311,Flynn,1,Good,Good,0
308051530,Agnes Water - Miriam Vale,311,Flynn,1,Good,Good,0
308051531,Boyne Island - Tannum Sands,311,Flynn,1,Good,Good,0
308051532,Callemondah,311,Flynn,1,Good,Good,0
308051533,Clinton - New Auckland,311,Flynn,1,Good,Good,0
308051534,Gladstone,311,Flynn,1,Good,Good,0
308051535,Gladstone Hinterland,311,Flynn,1,Good,Good,0
308051536,Kin Kora - Sun Valley,311,Flynn,1,Good,Good,0
308051537,South Trees,311,Flynn,1,Good,Good,0
308051538,Telina - Toolooa,311,Flynn,1,Good,Good,0
308051539,West Gladstone,311,Flynn,1,Good,Good,0
309011224,Broadbeach Waters,323,Moncrieff,1,Good,Good,0
309011225,Burleigh Heads,322,McPherson,1,Good,Good,0
309011226,Burleigh Waters,322,McPherson,1,Good,Good,0
309011227,Mermaid Beach - Broadbeach,323,Moncrieff,1,Good,Good,0
309011228,Mermaid Waters,323,Moncrieff,1,Good,Good,0
309011229,Miami,322,McPherson,0.0279658,Good,Good,0
309011229,Miami,323,Moncrieff,0.9720342,Good,Good,0
309021230,Coolangatta,322,McPherson,1,Good,Good,0
309021231,Currumbin - Tugun,322,McPherson,1,Good,Good,0
309021232,Currumbin Waters,322,McPherson,1,Good,Good,0
309021233,Elanora,322,McPherson,1,Good,Good,0
309021234,Palm Beach,322,McPherson,1,Good,Good,0
309031235,Arundel,308,Fadden,1,Good,Good,0
309031236,Biggera Waters,308,Fadden,1,Good,Good,0
309031237,Coombabah,308,Fadden,1,Good,Good,0
309031238,Labrador,308,Fadden,1,Good,Good,0
309031239,Paradise Point - Hollywell,308,Fadden,1,Good,Good,0
309031240,Runaway Bay,308,Fadden,1,Good,Good,0
309041241,Guanaba - Springbrook,330,Wright,1,Acceptable,Good,0
309041242,Tamborine - Canungra,330,Wright,1,Acceptable,Good,0
309051243,Currumbin Valley - Tallebudgera,322,McPherson,1,Good,Good,0
309051244,Mudgeeraba - Bonogin,330,Wright,0.3116458,Acceptable,Good,0
309051244,Mudgeeraba - Bonogin,322,McPherson,0.6883542,Good,Good,0
309051245,Reedy Creek - Andrews,322,McPherson,1,Good,Good,0
309061246,Carrara,323,Moncrieff,1,Good,Good,0
309061247,Highland Park,323,Moncrieff,1,Good,Good,0
309061248,Nerang - Mount Nathan,330,Wright,0.2499169,Acceptable,Good,0
309061248,Nerang - Mount Nathan,323,Moncrieff,0.7500831,Good,Good,0
309061249,Pacific Pines - Gaven,330,Wright,0.0482881,Acceptable,Good,0
309061249,Pacific Pines - Gaven,308,Fadden,0.9517119,Good,Good,0
309061250,Worongary - Tallai,330,Wright,1,Acceptable,Good,0
309071251,Coomera,308,Fadden,1,Good,Good,0
309071252,Helensvale,308,Fadden,1,Good,Good,0
309071253,Hope Island,308,Fadden,1,Good,Good,0
309071254,Jacobs Well - Alberton,308,Fadden,1,Good,Good,0
309071256,Oxenford - Maudsland,330,Wright,0.4941487,Acceptable,Good,0
309071256,Oxenford - Maudsland,308,Fadden,0.5058513,Good,Good,0
309071552,Ormeau (East) - Stapylton,308,Fadden,1,Good,Good,0
309071553,Ormeau (West) - Yatala,312,Forde,1,Good,Good,0
309071554,Pimpama - North,308,Fadden,1,Good,Good,0
309071555,Pimpama - South,308,Fadden,1,Good,Good,0
309071556,Upper Coomera (South) - Wongawallan,330,Wright,0.0179481,Acceptable,Good,0
309071556,Upper Coomera (South) - Wongawallan,312,Forde,0.9820519,Good,Good,0
309071557,Upper Coomera - North,312,Forde,1,Good,Good,0
309071558,Willow Vale - Pimpama (West),312,Forde,1,Good,Good,0
309081259,Clear Island Waters,322,McPherson,1,Good,Good,0
309081260,Merrimac,323,Moncrieff,0.2119315,Good,Good,0
309081260,Merrimac,322,McPherson,0.7880685,Good,Good,0
309081262,Varsity Lakes,322,McPherson,1,Good,Good,0
309081559,Robina - East,322,McPherson,1,Good,Good,0
309081560,Robina - West,322,McPherson,1,Good,Good,0
309091263,Ashmore,323,Moncrieff,1,Good,Good,0
309091264,Molendinar,323,Moncrieff,1,Good,Good,0
309091265,Parkwood,308,Fadden,1,Good,Good,0
309091540,Southport - North,308,Fadden,0.0211218,Good,Good,0
309091540,Southport - North,323,Moncrieff,0.9788782,Good,Good,0
309091541,Southport - South,323,Moncrieff,1,Good,Good,0
309101267,Benowa,323,Moncrieff,1,Good,Good,0
309101268,Bundall,323,Moncrieff,1,Good,Good,0
309101269,Main Beach,323,Moncrieff,1,Good,Good,0
309101561,Surfers Paradise - North,323,Moncrieff,1,Good,Good,0
309101562,Surfers Paradise - South,323,Moncrieff,1,Good,Good,0
310011271,Darra - Sumner,325,Oxley,1,Good,Good,0
310011272,Durack,325,Oxley,1,Good,Good,0
310011274,Inala - Richlands,325,Oxley,1,Good,Good,0
310011275,Oxley (Qld),325,Oxley,0.4623304,Good,Good,0
310011275,Oxley (Qld),324,Moreton,0.5376696,Good,Good,0
310011276,Wacol,325,Oxley,1,Good,Good,0
310011563,Doolandella,325,Oxley,1,Good,Good,0
310011564,Forest Lake - Ellen Grove,325,Oxley,1,Good,Good,0
310021277,Boonah,330,Wright,1,Acceptable,Good,0
310021278,Esk,301,Blair,1,Good,Good,0
310021279,Lake Manchester - England Creek,328,Ryan,1,Good,Good,0
310021280,Lockyer Valley - East,301,Blair,0.0002829,Good,Good,1
310021280,Lockyer Valley - East,330,Wright,0.9997171,Acceptable,Good,0
310021281,Lowood,301,Blair,1,Good,Good,0
310021282,Rosewood,301,Blair,1,Good,Good,0
310031283,Brassall,301,Blair,1,Good,Good,0
310031284,Bundamba,301,Blair,1,Good,Good,0
310031285,Churchill - Yamanto,301,Blair,1,Good,Good,0
310031286,Ipswich - Central,301,Blair,1,Good,Good,0
310031287,Ipswich - East,301,Blair,1,Good,Good,0
310031288,Ipswich - North,301,Blair,1,Good,Good,0
310031289,Karalee - Barellan Point,301,Blair,1,Good,Good,0
310031290,Karana Downs,301,Blair,1,Good,Good,0
310031291,Leichhardt - One Mile,301,Blair,1,Good,Good,0
310031292,North Ipswich - Tivoli,301,Blair,1,Good,Good,0
310031293,Raceview,301,Blair,1,Good,Good,0
310031294,Ripley,301,Blair,1,Good,Good,0
310031295,Riverview,301,Blair,1,Good,Good,0
310041297,Camira - Gailes,325,Oxley,1,Good,Good,0
310041298,Carole Park,325,Oxley,1,Good,Good,0
310041299,Collingwood Park - Redbank,301,Blair,0.4906236,Good,Good,0
310041299,Collingwood Park - Redbank,325,Oxley,0.5093764,Good,Good,0
310041300,Goodna,325,Oxley,1,Good,Good,0
310041301,New Chum,301,Blair,1,Good,Good,0
310041302,Redbank Plains,325,Oxley,0.3080058,Good,Good,0
310041302,Redbank Plains,301,Blair,0.6919942,Good,Good,0
310041303,Springfield,325,Oxley,1,Good,Good,0
310041304,Springfield Lakes,325,Oxley,0.490017,Good,Good,0
310041304,Springfield Lakes,301,Blair,0.509983,Good,Good,0
310041565,Augustine Heights - Brookwater,301,Blair,0.0189494,Good,Good,0
310041565,Augustine Heights - Brookwater,325,Oxley,0.9810506,Good,Good,0
310041566,Bellbird Park,325,Oxley,1,Good,Good,0
311011305,Beaudesert,330,Wright,1,Acceptable,Good,0
311021306,Beenleigh,312,Forde,1,Good,Good,0
311021307,Eagleby,312,Forde,1,Good,Good,0
311021308,Edens Landing - Holmview,312,Forde,1,Good,Good,0
311021309,Mount Warren Park,312,Forde,1,Good,Good,0
311021310,Wolffdene - Bahrs Scrub,312,Forde,1,Good,Good,0
311031311,Boronia Heights - Park Ridge,312,Forde,1,Good,Good,0
311031312,Browns Plains,327,Rankin,1,Good,Good,0
311031313,Chambers Flat - Logan Reserve,312,Forde,1,Good,Good,0
311031314,Crestmead,327,Rankin,1,Good,Good,0
311031315,Greenbank Military Camp,330,Wright,1,Acceptable,Good,0
