SAL_CODE_2021,SAL_NAME_2021,LGA_CODE_2021,LGA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10264,Bellambi,18450,Wollongong,1,Good,Good,0
10265,Bellangry,16380,Port Macquarie-Hastings,1,Good,Good,0
10266,Bellata,15300,Moree Plains,0.0965413,Good,Good,0
10266,Bellata,15750,Narrabri,0.9034587,Good,Good,0
10267,Bellawongarah,16950,Shoalhaven,1,Good,Good,0
10268,Bellbird,11720,Cessnock,1,Good,Good,0
10269,Bellbird Heights,11720,Cessnock,1,Good,Good,0
10270,Bellbrook,14350,Kempsey,1,Good,Good,0
10271,Bellevue Hill,18500,Woollahra,1,Acceptable,Good,0
10272,Bellimbopinni,14350,Kempsey,1,Good,Good,0
10273,Bellingen,10600,Bellingen,1,Good,Good,0
10274,Bellmount Forest,17640,Upper Lachlan Shire,0.2155477,Good,Good,0
10274,Bellmount Forest,18710,Yass Valley,0.7844523,Good,Good,0
10275,Belltrees,17620,Upper Hunter Shire,1,Good,Good,0
10276,Belmont (NSW),14650,Lake Macquarie,1,Good,Good,0
10277,Belmont North,14650,Lake Macquarie,1,Good,Good,0
10278,Belmont South,14650,Lake Macquarie,1,Good,Good,0
10279,Belmore,11570,Canterbury-Bankstown,1,Good,Good,0
10280,Belmore River,14350,Kempsey,1,Good,Good,0
10281,Beloka,17040,Snowy Monaro Regional,1,Good,Good,0
10282,Belowra,12750,Eurobodalla,1,Good,Good,0
10283,Belrose,15990,Northern Beaches,1,Good,Good,0
10284,Bemboka,10550,Bega Valley,1,Good,Good,0
10285,Ben Bullen,14870,Lithgow,1,Good,Good,0
10286,Ben Lomond (NSW),10180,Armidale Regional,0.9006665,Good,Good,0
10286,Ben Lomond (NSW),13010,Glen Innes Severn,0.0993335,Good,Good,0
10287,Benandarah,12750,Eurobodalla,1,Good,Good,0
10288,Bendalong,16950,Shoalhaven,1,Good,Good,0
10289,Bendemeer,17310,Tamworth Regional,1,Good,Good,0
10290,Bendick Murrell,13910,Hilltops,1,Good,Good,0
10291,Bendolba,12700,Dungog,1,Good,Good,0
10292,Bendoura,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10293,Benerembah,11600,Carrathool,0.1482368,Good,Good,0
10293,Benerembah,13450,Griffith,0.8517632,Good,Good,0
10294,Bengalla,15650,Muswellbrook,1,Good,Good,0
10295,Bennetts Green,14650,Lake Macquarie,1,Good,Good,0
10296,Benolong,12390,Dubbo Regional,1,Good,Good,0
10297,Bensville,11650,Central Coast (NSW),1,Good,Good,0
10298,Bentley (NSW),14850,Lismore,0.2291024,Good,Good,0
10298,Bentley (NSW),16610,Richmond Valley,0.7708976,Good,Good,0
10299,Berala,12380,Cumberland,1,Good,Good,0
10300,Berambing,10900,Blue Mountains,0.0693853,Good,Good,0
10300,Berambing,13800,Hawkesbury,0.9306147,Good,Good,0
10301,Beresfield,15900,Newcastle,1,Good,Good,0
10302,Bergalia,12750,Eurobodalla,1,Good,Good,0
10303,Berkeley,18450,Wollongong,1,Good,Good,0
10304,Berkeley Vale,11650,Central Coast (NSW),1,Good,Good,0
10305,Berkshire Park,16350,Penrith,1,Good,Good,0
10306,Berlang,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10307,Bermagui,10550,Bega Valley,1,Good,Good,0
10308,Berowra,14000,Hornsby,1,Acceptable,Good,0
10309,Berowra Heights,14000,Hornsby,1,Acceptable,Good,0
10310,Berowra Waters,14000,Hornsby,1,Acceptable,Good,0
10311,Berrambool,10550,Bega Valley,1,Good,Good,0
10312,Berrara,16950,Shoalhaven,1,Good,Good,0
10313,Berremangra,13910,Hilltops,1,Good,Good,0
10314,Berrico,15240,Mid-Coast,1,Good,Good,0
10315,Berridale,17040,Snowy Monaro Regional,1,Good,Good,0
10316,Berrigal,15300,Moree Plains,1,Good,Good,0
10317,Berrigan,10650,Berrigan,0.9928514,Good,Good,0
10317,Berrigan,15560,Murrumbidgee,0.0071486,Good,Good,1
10318,Berrilee,14000,Hornsby,1,Acceptable,Good,0
10319,Berrima,18350,Wingecarribee,1,Good,Good,0
10320,Berringer Lake,16950,Shoalhaven,1,Good,Good,0
10321,Berry,16950,Shoalhaven,1,Good,Good,0
10322,Berry Jerry,12000,Coolamon,1,Good,Good,0
10323,Berry Mountain,16950,Shoalhaven,1,Good,Good,0
10324,Berry Park,15050,Maitland,1,Good,Good,0
10325,Berthong,13910,Hilltops,1,Good,Good,0
10326,Beryl,15270,Mid-Western Regional,1,Good,Good,0
10327,Bethungra,14300,Junee,1,Good,Good,0
10328,Bevendale,17640,Upper Lachlan Shire,1,Good,Good,0
10329,Beverley Park,12930,Georges River,1,Acceptable,Good,0
10330,Beverly Hills,11570,Canterbury-Bankstown,0.1671299,Good,Good,0
10330,Beverly Hills,12930,Georges River,0.8328701,Acceptable,Good,0
10331,Bewong,16950,Shoalhaven,1,Good,Good,0
10332,Bexhill,14850,Lismore,1,Good,Good,0
10333,Bexley,10500,Bayside (NSW),1,Good,Good,0
10334,Bexley North,10500,Bayside (NSW),1,Good,Good,0
10335,Biala,17640,Upper Lachlan Shire,1,Good,Good,0
10336,Bibbenluke,17040,Snowy Monaro Regional,1,Good,Good,0
10337,Biddon,12950,Gilgandra,1,Good,Good,0
10338,Bidgeemia,14950,Lockhart,1,Good,Good,0
10339,Bidwill (NSW),10750,Blacktown,1,Good,Good,0
10340,Bielsdown Hills,10600,Bellingen,1,Good,Good,0
10341,Big Hill (NSW),17640,Upper Lachlan Shire,1,Good,Good,0
10342,Big Jacks Creek,14920,Liverpool Plains,1,Good,Good,0
10343,Big Ridge,17000,Singleton,1,Good,Good,0
10344,Big Springs,17750,Wagga Wagga,1,Good,Good,0
10345,Bigga,17640,Upper Lachlan Shire,1,Good,Good,0
10346,Bilambil,17550,Tweed,1,Good,Good,0
10347,Bilambil Heights,17550,Tweed,1,Good,Good,0
10348,Bilbul,13450,Griffith,1,Good,Good,0
10349,Bilgola Beach,15990,Northern Beaches,1,Good,Good,0
10350,Bilgola Plateau,15990,Northern Beaches,1,Good,Good,0
10351,Billeroy,12150,Coonamble,1,Good,Good,0
10352,Billilingra,17040,Snowy Monaro Regional,1,Good,Good,0
10353,Billimari,12350,Cowra,1,Good,Good,0
10354,Billinudgel,11350,Byron,1,Good,Good,0
10355,Billys Creek,11730,Clarence Valley,1,Good,Good,0
10356,Billywillinga,10470,Bathurst Regional,1,Good,Good,0
10357,Bilpin,13800,Hawkesbury,1,Good,Good,0
10358,Bimberi,17080,Snowy Valleys,1,Good,Good,0
10359,Bimbi,18100,Weddin,1,Good,Good,0
10360,Bimbimbie,12750,Eurobodalla,1,Good,Good,0
10361,Binalong,18710,Yass Valley,1,Good,Good,0
10362,Binda,17640,Upper Lachlan Shire,1,Good,Good,0
10363,Bindera,15240,Mid-Coast,1,Good,Good,0
10364,Bingara,13660,Gwydir,1,Good,Good,0
10365,Bingeebeebra Creek,14550,Kyogle,1,Good,Good,0
10366,Bingie,12750,Eurobodalla,1,Good,Good,0
10367,Bingleburra,12700,Dungog,1,Good,Good,0
10368,Biniguy,15300,Moree Plains,1,Good,Good,0
10369,Binjura,17040,Snowy Monaro Regional,1,Good,Good,0
10370,Binna Burra (NSW),11350,Byron,1,Good,Good,0
10371,Binnaway,18020,Warrumbungle Shire,1,Good,Good,0
10372,Binya,11600,Carrathool,0.4961618,Good,Good,0
10372,Binya,15800,Narrandera,0.5038382,Good,Good,0
10373,Birchgrove,14170,Inner West,1,Good,Good,0
10374,Birdwood (NSW),16380,Port Macquarie-Hastings,1,Good,Good,0
10375,Birganbigil,12730,Edward River,1,Good,Good,0
10376,Birmingham Gardens,15900,Newcastle,1,Good,Good,0
10377,Birriwa,15270,Mid-Western Regional,1,Good,Good,0
10378,Birrong,11570,Canterbury-Bankstown,1,Good,Good,0
10379,Bishops Bridge,11720,Cessnock,0.351863,Good,Good,0
10379,Bishops Bridge,15050,Maitland,0.648137,Good,Good,0
10380,Bithramere,17310,Tamworth Regional,1,Good,Good,0
10381,Black Creek (Port Macquarie-Hastings - NSW),16380,Port Macquarie-Hastings,1,Good,Good,0
10382,Black Creek (Snowy Valleys - NSW),17080,Snowy Valleys,1,Good,Good,0
10383,Black Head,15240,Mid-Coast,1,Good,Good,0
